pedido_id,distancia_km,volumen_m3,prioridad,ventana_min,cadena_frio,hora_pico,zona_rural,trafico_index,retrasado
PED-00442,9.24,0.08,baja,47,0,1,0,0.599,0
PED-00443,13.26,0.0321,media,239,1,0,0,0.083,0
PED-00444,10.11,0.2382,media,224,1,1,1,0.316,0
PED-00445,11.97,0.4113,alta,114,0,0,0,0.635,0
PED-00446,11.45,0.1201,baja,130,1,0,1,0.554,1
PED-00447,6.53,0.07,media,93,0,1,1,0.528,1
PED-00448,11.16,0.24,media,200,1,1,0,0.629,0
PED-00449,18.2,0.2042,baja,104,0,1,1,0.291,1
PED-00450,11.02,0.0728,media,147,1,0,1,0.623,0
PED-00451,13.8,0.1589,alta,187,1,0,0,0.523,0
PED-00452,8.69,0.1299,alta,163,0,1,0,0.627,1
PED-00453,10.49,0.3163,alta,191,1,0,1,0.569,1
PED-00454,7.54,0.2908,alta,209,0,1,0,0.329,0
PED-00455,16.39,0.0268,media,159,0,0,0,0.613,0
PED-00456,9.24,0.2386,media,169,0,1,1,0.377,0
PED-00457,10.46,0.2309,alta,45,0,1,1,0.798,1
PED-00458,19.07,0.3346,baja,175,0,1,0,0.149,0
PED-00459,9.84,0.2037,baja,222,0,0,0,0.398,0
PED-00460,10.43,0.0389,media,68,0,0,0,0.386,0
PED-00461,4.16,0.5135,baja,72,0,1,0,0.004,0
PED-00462,8.48,0.0839,media,93,1,1,0,0.77,1
PED-00463,2.02,0.1032,media,75,1,1,0,0.662,1
PED-00464,9.68,0.0914,media,144,0,1,0,0.991,0
PED-00465,12.81,0.0936,media,88,0,0,1,0.881,0
PED-00466,15.79,0.1479,alta,206,0,1,0,0.428,0
PED-00467,18.19,0.178,baja,191,0,0,0,0.7,0
PED-00468,16.2,0.1529,media,72,1,0,0,0.115,0
PED-00469,7.38,0.0674,media,108,0,1,0,0.527,0
PED-00470,14.7,0.3347,baja,56,0,0,0,0.489,0
PED-00471,12.95,0.1102,baja,147,1,1,0,0.709,1
PED-00472,24.73,0.4733,baja,66,0,0,0,0.829,0
PED-00473,10.02,0.0693,media,192,0,1,0,0.246,0
PED-00474,5.39,0.1452,media,196,1,0,1,0.008,0
PED-00475,21.88,0.0972,media,202,0,0,0,0.322,0
PED-00476,13.57,0.2147,media,171,0,0,1,0.632,0
PED-00477,15.52,0.0367,alta,172,0,0,0,0.707,0
PED-00478,5.64,0.1982,alta,183,1,0,0,0.77,0
PED-00479,10.28,0.2207,media,108,0,0,1,0.517,0
PED-00480,6.51,0.3344,baja,180,1,1,0,0.026,0
PED-00481,15.87,0.2166,alta,128,0,1,0,0.678,1
PED-00482,3.97,0.3605,alta,132,1,0,1,0.985,1
PED-00483,6.22,0.262,alta,101,1,1,0,0.201,1
PED-00484,5.16,0.2723,media,74,0,0,0,0.151,0
PED-00485,14.27,0.2731,alta,75,0,0,0,0.441,0
PED-00486,14.85,0.3558,alta,231,0,1,0,0.063,0
PED-00487,4.33,0.1931,media,105,0,0,0,0.435,0
PED-00488,16.39,0.2355,media,70,0,0,0,0.766,0
PED-00489,7.04,0.1259,baja,190,0,0,0,0.267,0
PED-00490,6.69,0.2203,baja,70,0,0,0,0.399,0
PED-00491,6.63,0.1694,baja,180,1,1,1,0.288,0
PED-00492,15.08,0.1734,media,65,0,0,0,0.317,0
PED-00493,14.01,0.1012,media,67,1,1,0,0.923,1
PED-00494,16.19,0.1781,baja,224,0,0,0,0.536,0
PED-00495,12.97,0.115,media,101,0,1,0,0.22,0
PED-00496,9.6,0.2656,alta,95,1,0,0,0.285,1
PED-00497,8.88,0.0698,media,41,0,1,0,0.933,1
PED-00498,11.43,0.1992,alta,207,1,0,0,0.204,0
PED-00499,8.99,0.1467,media,43,1,1,0,0.095,0
PED-00500,6.69,0.405,baja,197,1,0,1,0.331,0
PED-00501,9.03,0.0831,media,59,0,0,0,0.835,0
PED-00502,22.78,0.2284,media,106,1,1,0,0.196,0
PED-00503,13.58,0.1105,media,195,1,1,0,0.003,0
PED-00504,5.65,0.2782,media,64,0,0,0,0.159,0
PED-00505,7.16,0.2713,media,163,0,0,0,0.194,0
PED-00506,7.13,0.462,media,193,1,1,1,0.365,1
PED-00507,25.53,0.1929,baja,88,0,0,1,0.086,0
PED-00508,9.19,0.1576,media,166,0,1,0,0.067,0
PED-00509,18.08,0.2307,media,133,1,0,0,0.186,0
PED-00510,9.47,0.2799,alta,79,1,1,1,0.055,0
PED-00511,5.91,0.3227,media,71,0,1,0,0.605,0
PED-00512,10.45,0.2728,alta,90,0,0,1,0.103,0
PED-00513,10.18,0.4183,media,36,0,1,0,0.969,1
PED-00514,8.37,0.3517,baja,82,0,0,0,0.952,0
PED-00515,24.48,0.2904,baja,220,1,1,0,0.933,1
PED-00516,5.45,0.279,baja,34,0,0,0,0.097,0
PED-00517,13.89,0.1024,alta,134,0,1,0,0.728,1
PED-00518,4.69,0.0766,media,191,0,1,0,0.187,0
PED-00519,14.62,0.0468,baja,138,0,1,1,0.105,0
PED-00520,21.28,0.1573,baja,41,0,0,0,0.839,0
PED-00521,9.32,0.0998,alta,221,1,1,0,0.939,1
PED-00522,5.16,0.3797,media,174,1,1,0,0.142,0
PED-00523,4.84,0.2183,baja,40,1,0,1,0.429,0
PED-00524,5.74,0.3247,baja,78,0,1,0,0.872,1
PED-00525,16.68,0.0814,alta,30,0,0,0,0.227,0
PED-00526,11.22,0.2743,media,90,0,0,1,0.857,0
PED-00527,15.03,0.1465,media,207,0,1,0,0.395,1
PED-00528,7.85,0.1076,baja,224,0,1,1,0.478,0
PED-00529,12.37,0.2139,media,65,1,0,1,0.229,0
PED-00530,10.25,0.5519,media,178,0,1,1,0.965,1
PED-00531,7.43,0.4783,alta,234,0,0,0,0.615,1
PED-00532,1.72,0.102,alta,36,0,0,0,0.93,0
PED-00533,14.07,0.1226,media,103,0,1,0,0.043,0
PED-00534,9.43,0.1101,baja,115,0,0,0,0.929,0
PED-00535,21.85,0.1857,baja,204,1,1,1,0.751,1
PED-00536,8.8,0.3625,media,122,0,1,1,0.31,1
PED-00537,4.36,0.1139,baja,128,0,0,1,0.63,1
PED-00538,11.8,0.5063,media,111,0,0,0,0.007,1
PED-00539,4.36,0.132,media,117,0,1,0,0.076,0
PED-00540,6.56,0.1384,media,138,0,0,0,0.039,0
PED-00541,13.13,0.1663,baja,74,0,1,1,0.327,1
PED-00542,20.52,0.2875,alta,148,0,1,0,0.777,1
PED-00543,6.59,0.374,media,212,0,0,0,0.279,0
PED-00544,12.51,0.167,baja,96,1,1,1,0.986,1
PED-00545,6.62,0.174,baja,60,1,1,0,0.105,0
PED-00546,11.72,0.0949,baja,189,0,0,1,0.267,0
PED-00547,11.84,0.1202,alta,40,0,0,0,0.029,0
PED-00548,7.11,0.2473,alta,145,0,0,0,0.177,0
PED-00549,10.98,0.1783,media,83,0,1,0,0.999,1
PED-00550,11.31,0.0844,alta,137,1,1,1,0.017,1
PED-00551,13.07,0.2434,media,99,0,0,0,0.767,0
PED-00552,16.92,0.4093,media,222,0,0,0,0.768,0
PED-00553,12.61,0.3183,baja,135,1,1,1,0.975,1
PED-00554,19.39,0.3311,media,35,0,0,0,0.13,0
PED-00555,8.93,0.1447,media,233,1,0,0,0.552,0
PED-00556,8.69,0.1304,baja,149,0,0,0,0.676,1
PED-00557,4.24,0.0695,media,184,0,0,0,0.119,0
PED-00558,9.74,0.1986,baja,193,0,1,0,0.25,0
PED-00559,13.79,0.2165,baja,179,1,1,0,0.335,0
PED-00560,3.79,0.108,media,91,1,0,1,0.59,0
PED-00561,18.52,0.0676,media,139,1,1,0,0.165,0
PED-00562,9.47,0.2685,alta,107,0,0,1,0.111,0
PED-00563,23.05,0.2503,media,197,0,0,0,0.414,0
PED-00564,13.92,0.1663,media,31,1,1,1,0.893,1
PED-00565,10.23,0.1974,alta,152,0,0,1,0.209,0
PED-00566,25.15,0.0467,media,56,0,0,1,0.65,0
PED-00567,16.19,0.372,media,71,0,0,0,0.736,1
PED-00568,6.96,0.2924,media,60,1,0,0,0.039,0
PED-00569,12.42,0.5511,media,69,0,0,0,0.491,0
PED-00570,22.63,0.1855,media,40,0,0,1,0.787,1
PED-00571,15.99,0.189,baja,122,0,1,0,0.463,0
PED-00572,10.0,0.1302,media,52,1,0,1,0.567,0
PED-00573,13.5,0.2042,alta,213,0,1,1,0.17,1
PED-00574,11.15,0.3879,alta,193,1,1,0,0.594,1
PED-00575,16.33,0.344,media,93,1,1,0,0.358,1
PED-00576,14.79,0.3557,baja,138,0,0,1,0.412,0
PED-00577,8.45,0.1108,alta,224,0,1,0,0.161,0
PED-00578,8.78,0.0311,media,149,0,0,0,0.153,0
PED-00579,29.11,0.3209,media,131,0,0,0,0.357,0
PED-00580,8.34,0.0852,baja,107,0,1,0,0.971,0
PED-00581,8.14,0.0885,media,89,0,1,0,0.411,1
PED-00582,5.28,0.1574,media,102,0,1,0,0.005,0
PED-00583,10.14,0.2179,media,75,0,1,0,0.688,0
PED-00584,4.68,0.148,media,52,0,0,1,0.393,0
PED-00585,24.36,0.1817,media,131,0,1,0,0.625,0
PED-00586,15.03,0.0191,alta,159,0,0,0,0.062,0
PED-00587,10.29,0.3127,baja,66,0,0,0,0.556,0
PED-00588,17.91,0.1814,media,81,0,0,0,0.703,0
PED-00589,11.95,0.2573,alta,51,0,0,0,0.476,0
PED-00590,14.0,0.3562,baja,221,0,0,1,0.094,0
PED-00591,9.43,0.045,alta,58,0,1,1,0.375,1
PED-00592,17.11,0.2655,media,93,0,1,0,0.482,0
PED-00593,14.4,0.0747,alta,197,0,1,0,0.707,1
PED-00594,6.61,0.1207,media,226,0,1,1,0.253,0
PED-00595,17.71,0.5647,baja,140,0,0,0,0.021,1
PED-00596,11.16,0.3907,media,133,0,1,0,0.996,1
PED-00597,8.59,0.0474,media,35,0,0,1,0.97,0
PED-00598,4.02,0.139,media,182,0,1,0,0.904,0
PED-00599,6.63,0.245,media,58,0,1,0,0.833,1
PED-00600,1.83,0.0898,baja,52,0,1,1,0.097,0
PED-00601,6.15,0.1951,baja,180,0,0,0,0.44,0
PED-00602,15.8,0.5178,alta,213,0,0,0,0.628,0
PED-00603,28.21,0.2542,media,194,0,0,0,0.748,0
PED-00604,8.46,0.3162,baja,215,0,0,0,0.843,0
PED-00605,24.52,0.2295,media,91,1,0,0,0.341,0
PED-00606,1.84,0.2253,media,214,0,1,0,0.708,1
PED-00607,10.91,0.1289,baja,75,1,1,1,0.231,1
PED-00608,13.47,0.4276,media,36,1,0,0,0.434,0
PED-00609,3.46,0.3837,baja,201,0,1,0,0.242,0
PED-00610,17.35,0.3793,media,95,0,0,0,0.263,0
PED-00611,8.92,0.4433,media,70,0,1,0,0.914,1
PED-00612,7.17,0.2926,media,149,0,1,0,0.295,0
PED-00613,8.09,0.1675,baja,237,0,0,0,0.804,0
PED-00614,8.28,0.0819,baja,131,1,1,0,0.988,1
PED-00615,9.66,0.3248,alta,204,0,1,0,0.292,0
PED-00616,24.99,0.2018,baja,74,1,0,0,0.008,0
PED-00617,12.89,0.081,alta,35,0,0,0,0.515,0
PED-00618,7.62,0.344,baja,117,0,1,0,0.539,0
PED-00619,3.16,0.3541,media,47,1,1,0,0.194,0
PED-00620,7.71,0.1046,media,115,0,0,0,0.823,0
PED-00621,15.72,0.5142,baja,189,0,0,1,0.507,0
PED-00622,5.06,0.1391,baja,32,0,1,1,0.472,1
PED-00623,5.51,0.4256,alta,93,1,0,0,0.557,0
PED-00624,15.59,0.2779,media,65,1,1,0,0.191,1
PED-00625,16.9,0.2976,baja,143,0,1,0,0.875,1
PED-00626,3.93,0.1772,media,191,0,1,1,0.957,1
PED-00627,5.29,0.232,media,178,1,1,1,0.686,1
PED-00628,5.55,0.2481,media,187,0,1,0,0.086,0
PED-00629,7.94,0.4876,media,168,0,0,1,0.232,1
PED-00630,15.58,0.0531,media,174,0,0,0,0.534,0
PED-00631,28.19,0.2167,media,57,1,0,0,0.762,0
PED-00632,6.46,0.0646,media,145,1,0,1,0.428,0
PED-00633,15.48,0.202,media,184,0,1,0,0.095,0
PED-00634,6.12,0.3512,baja,107,0,0,0,0.769,0
PED-00635,15.97,0.0403,alta,40,0,0,0,0.39,0
PED-00636,3.72,0.2077,media,84,1,0,0,0.726,0
PED-00637,10.25,0.0384,media,165,0,1,0,0.647,0
PED-00638,20.42,0.0914,media,51,0,0,1,0.427,0
PED-00639,12.7,0.4331,alta,231,1,1,1,0.848,0
PED-00640,8.43,0.1882,media,168,0,1,0,0.425,0
PED-00641,21.38,0.2445,baja,212,0,1,0,0.288,0
PED-00642,5.6,0.0923,media,221,1,1,0,0.272,0
PED-00643,4.3,0.1572,alta,37,0,1,1,0.769,1
PED-00644,10.08,0.2774,alta,48,0,0,0,0.108,0
PED-00645,16.72,0.1632,media,157,0,0,0,0.215,0
PED-00646,11.57,0.0473,media,104,0,0,1,0.057,0
PED-00647,15.37,0.5574,media,145,1,0,0,0.133,0
PED-00648,6.97,0.0263,media,168,1,1,1,0.879,1
PED-00649,9.03,0.2373,alta,225,0,1,0,0.41,0
PED-00650,1.44,0.3024,media,212,0,0,0,0.926,0
PED-00651,17.72,0.2665,alta,220,1,1,0,0.268,1
PED-00652,8.17,0.1011,media,199,0,1,1,0.944,1
PED-00653,18.88,0.3322,alta,231,0,0,0,0.102,0
PED-00654,16.89,0.0597,baja,41,1,0,1,0.92,1
PED-00655,15.54,0.4257,media,188,1,0,0,0.572,0
PED-00656,20.69,0.1515,baja,50,0,1,0,0.608,1
PED-00657,17.12,0.3326,baja,227,0,1,1,0.322,0
PED-00658,15.44,0.4551,media,206,0,0,0,0.781,0
PED-00659,14.89,0.1749,media,31,0,1,0,0.927,0
PED-00660,15.2,0.3109,media,130,0,1,0,0.902,0
PED-00661,12.17,0.0727,media,44,1,1,0,0.096,0
PED-00662,15.2,0.3243,baja,83,0,0,0,0.299,0
PED-00663,7.29,0.0585,alta,57,0,0,0,0.592,0
PED-00664,8.9,0.0634,media,79,0,0,1,0.87,0
PED-00665,4.9,0.346,media,104,0,0,0,0.071,0
PED-00666,17.08,0.3623,alta,102,0,0,0,0.029,0
PED-00667,17.37,0.4665,baja,205,1,1,0,0.369,0
PED-00668,11.05,0.1657,alta,145,1,0,0,0.8,1
PED-00669,4.47,0.0752,media,131,0,0,0,0.648,0
PED-00670,5.33,0.3274,alta,88,0,0,0,0.006,1
PED-00671,5.85,0.1543,alta,81,0,1,1,0.453,1
PED-00672,8.41,0.0856,media,51,1,1,0,0.897,1
PED-00673,3.5,0.3025,media,183,0,0,0,0.903,0
PED-00674,6.49,0.1159,baja,214,0,0,0,0.103,0
PED-00675,9.47,0.2176,alta,34,0,0,0,0.038,0
PED-00676,2.25,0.1964,alta,111,1,1,0,0.581,1
PED-00677,2.63,0.1,media,115,0,1,1,0.268,0
PED-00678,5.33,0.1586,media,72,1,1,1,0.265,0
PED-00679,8.63,0.1135,alta,232,0,0,0,0.558,0
PED-00680,16.91,0.1679,baja,178,0,1,0,0.404,0
PED-00681,5.78,0.0561,alta,49,1,1,0,0.397,1
PED-00682,28.92,0.2384,alta,128,0,0,0,0.761,0
PED-00683,6.59,0.1264,alta,80,0,1,1,0.345,1
PED-00684,5.9,0.1592,baja,60,0,0,0,0.077,1
PED-00685,24.36,0.0766,alta,161,1,0,0,0.339,0
PED-00686,11.25,0.2406,media,235,0,0,0,0.213,0
PED-00687,4.13,0.0219,media,61,1,1,0,0.376,0
PED-00688,25.6,0.2017,media,216,1,0,0,0.068,0
PED-00689,7.43,0.1858,media,229,0,0,0,0.174,0
PED-00690,11.16,0.4917,alta,35,0,0,0,0.062,0
PED-00691,23.81,0.072,media,45,1,1,1,0.029,1
PED-00692,9.3,0.2334,media,198,0,1,1,0.253,0
PED-00693,11.62,0.1602,alta,239,0,1,0,0.319,0
PED-00694,16.02,0.2671,alta,34,0,1,0,0.355,1
PED-00695,13.2,0.0971,baja,135,0,0,1,0.342,0
PED-00696,9.73,0.1933,alta,179,0,0,0,0.32,0
PED-00697,8.27,0.2982,alta,223,0,1,0,0.133,0
PED-00698,20.0,0.1736,alta,68,1,0,0,0.649,1
PED-00699,14.49,0.1517,media,155,0,0,1,0.086,0
PED-00700,7.97,0.0759,media,80,0,0,0,0.673,0
PED-00701,18.41,0.2148,alta,152,1,0,0,0.282,0
PED-00702,3.88,0.0517,media,147,0,1,1,0.597,0
PED-00703,11.28,0.1956,media,219,1,0,1,0.336,0
PED-00704,15.69,0.4927,media,230,1,1,1,0.153,1
PED-00705,7.8,0.0412,alta,38,1,1,1,0.157,1
PED-00706,16.68,0.1471,baja,123,1,0,1,0.231,0
PED-00707,7.62,0.1152,media,36,0,1,0,0.713,1
PED-00708,20.04,0.2006,alta,70,0,0,0,0.103,0
PED-00709,18.96,0.1063,alta,120,0,1,1,0.566,1
PED-00710,1.62,0.3844,baja,222,0,0,1,0.674,0
PED-00711,14.32,0.1996,media,219,0,0,0,0.413,0
PED-00712,11.0,0.1383,media,64,0,1,1,0.598,1
PED-00713,15.48,0.2824,alta,188,0,0,0,0.319,0
PED-00714,18.42,0.3204,alta,223,0,0,1,0.151,1
PED-00715,6.34,0.3142,media,161,1,0,0,0.206,0
PED-00716,15.08,0.2997,baja,38,1,0,0,0.927,1
PED-00717,11.95,0.3231,alta,230,0,0,1,0.293,0
PED-00718,12.18,0.0383,media,211,0,1,1,0.062,0
PED-00719,19.67,0.1067,alta,201,0,1,0,0.377,0
PED-00720,15.94,0.0745,baja,175,0,0,0,0.879,0
PED-00721,26.67,0.1701,baja,191,0,0,0,0.178,0
PED-00722,8.21,0.1018,media,38,0,1,0,0.881,1
PED-00723,7.82,0.0573,media,215,1,0,1,0.927,0
PED-00724,7.46,0.1179,media,72,1,1,1,0.893,1
PED-00725,4.13,0.1035,baja,93,0,1,1,0.1,0
PED-00726,17.61,0.1911,alta,128,0,1,0,0.675,1
PED-00727,8.6,0.2992,media,187,0,1,1,0.847,1
PED-00728,8.79,0.3001,baja,228,1,1,0,0.961,1
PED-00729,26.65,0.2989,alta,237,0,0,1,0.36,0
PED-00730,6.09,0.1244,alta,215,1,1,0,0.486,0
PED-00731,5.52,0.2794,media,169,0,1,0,0.912,0
PED-00732,6.47,0.0298,alta,171,1,1,0,0.73,1
PED-00733,16.18,0.3221,baja,81,1,0,0,0.283,0
PED-00734,28.46,0.0694,baja,86,1,0,0,0.609,0
PED-00735,5.98,0.4979,baja,119,0,0,0,0.992,0
PED-00736,14.82,0.3787,media,48,0,1,1,0.083,1
PED-00737,24.22,0.3321,baja,174,0,1,0,0.985,1
PED-00738,8.92,0.3723,media,121,0,1,0,0.2,0
PED-00739,19.29,0.1685,baja,206,0,0,0,0.049,0
PED-00740,7.4,0.1007,baja,80,0,1,1,0.423,1
PED-00741,24.77,0.2029,baja,53,0,0,0,0.846,0
PED-00742,17.22,0.5083,alta,175,0,0,1,0.637,1
PED-00743,7.72,0.3608,media,33,0,0,0,0.273,0
PED-00744,27.09,0.4491,media,189,1,0,0,0.604,0
PED-00745,14.85,0.1131,media,167,0,1,0,0.134,0
PED-00746,14.7,0.1345,media,137,0,0,0,0.524,1
PED-00747,8.83,0.1195,media,80,0,0,0,0.622,0
PED-00748,23.3,0.1035,media,224,0,1,1,0.754,1
PED-00749,17.13,0.2077,media,139,0,1,0,0.7,0
PED-00750,21.42,0.46,alta,102,1,1,0,0.004,1
PED-00751,6.6,0.2528,media,199,0,1,0,0.123,0
PED-00752,8.9,0.224,media,225,0,1,0,0.144,1
PED-00753,20.12,0.1454,media,163,0,1,1,0.121,1
PED-00754,5.26,0.2848,baja,179,0,0,0,0.402,0
PED-00755,15.94,0.3506,baja,108,0,0,0,0.538,0
PED-00756,2.98,0.189,alta,119,0,0,1,0.909,1
PED-00757,24.83,0.262,alta,180,0,0,0,0.114,0
PED-00758,10.94,0.422,alta,77,0,0,0,0.776,1
PED-00759,6.21,0.0359,baja,58,0,1,1,0.918,1
PED-00760,10.48,0.0675,media,79,1,0,1,0.045,0
PED-00761,25.59,0.3645,baja,35,0,1,0,0.405,1
PED-00762,11.6,0.1172,media,200,0,0,0,0.827,0
PED-00763,8.9,0.1502,media,153,0,0,0,0.904,0
PED-00764,20.98,0.4734,alta,83,1,1,0,0.429,1
PED-00765,3.74,0.415,baja,145,0,0,0,0.567,0
PED-00766,7.19,0.1172,media,212,0,0,1,0.897,0
PED-00767,14.09,0.2057,alta,121,0,1,0,0.683,1
PED-00768,13.32,0.3345,baja,198,1,1,0,0.357,1
PED-00769,4.22,0.3195,baja,45,0,0,1,0.79,0
PED-00770,11.3,0.0605,baja,44,0,0,0,0.886,0
PED-00771,10.58,0.4277,alta,102,0,1,0,0.979,1
PED-00772,20.21,0.0701,media,105,0,1,0,0.843,0
PED-00773,17.75,0.1087,alta,142,0,1,1,0.105,1
PED-00774,6.13,0.3591,media,164,0,1,1,0.291,0
PED-00775,10.62,0.3246,media,225,0,1,0,0.172,0
PED-00776,22.34,0.3682,media,174,1,1,0,0.897,1
PED-00777,11.79,0.147,baja,145,0,1,0,0.99,0
PED-00778,4.75,0.2941,baja,177,0,0,0,0.809,0
PED-00779,11.3,0.5617,media,222,0,0,1,0.96,0
PED-00780,15.94,0.3702,baja,49,1,0,0,0.339,0
PED-00781,22.38,0.2164,alta,154,1,0,0,0.561,0
PED-00782,6.31,0.1713,baja,102,1,1,0,0.044,0
PED-00783,14.89,0.0793,media,128,0,0,0,0.204,0
PED-00784,10.31,0.054,baja,97,0,0,1,0.641,0
PED-00785,12.92,0.2366,media,62,0,0,1,0.135,0
PED-00786,13.31,0.2154,media,112,1,1,1,0.821,1
PED-00787,15.47,0.1087,baja,41,0,0,1,0.813,0
PED-00788,12.18,0.0816,baja,231,0,1,0,0.294,0
PED-00789,15.44,0.0914,media,206,0,1,0,0.833,0
PED-00790,22.52,0.3037,alta,174,1,1,1,0.236,1
PED-00791,25.03,0.2939,alta,81,0,1,0,0.136,1
PED-00792,20.33,0.3238,alta,132,0,1,0,0.017,0
PED-00793,4.71,0.2786,alta,230,1,0,1,0.29,0
PED-00794,17.23,0.4103,baja,134,0,1,0,0.917,0
PED-00795,16.44,0.3636,baja,124,0,1,1,0.778,1
PED-00796,11.52,0.3277,baja,89,1,0,0,0.34,0
PED-00797,13.76,0.0355,media,179,0,0,0,0.987,0
PED-00798,5.35,0.3853,alta,173,1,1,1,0.651,1
PED-00799,12.84,0.2512,media,68,0,1,0,0.014,0
PED-00800,18.08,0.2977,media,133,0,0,0,0.882,0
